epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3683,2.16477,3.87293,2.05757,0.00222,0.43056,0.01042,0.00382,1.82979,4.36912,2.21578,3.75e-05,3.75e-05,3.75e-05
2,59.6472,2.13003,3.84534,2.12847,0.00331,0.58333,0.01899,0.00794,1.68267,4.43301,2.15059,8.46125e-05,8.46125e-05,8.46125e-05
3,86.9431,2.01127,3.73515,2.04392,0.00258,0.65278,0.08302,0.03269,1.73001,4.5524,2.20845,0.000128425,0.000128425,0.000128425
4,113.672,2.16151,3.62812,2.10756,0.00357,0.68056,0.30118,0.13583,1.76966,4.33477,2.29235,0.000168938,0.000168938,0.000168938
5,142.353,1.90881,3.33054,1.92528,0.00438,0.70833,0.31927,0.1401,1.73571,4.31421,2.22993,0.00020615,0.00020615,0.00020615
6,168.768,1.88083,3.12743,1.88486,0.00436,0.70833,0.25326,0.1111,1.78952,4.26932,2.23502,0.000240063,0.000240063,0.000240063
7,193.737,1.97461,3.09507,2.008,0.00415,0.70833,0.21322,0.11047,1.77983,4.22974,2.19697,0.000270675,0.000270675,0.000270675
8,217.58,2.0293,3.11315,2.00625,0.00422,0.70833,0.274,0.12631,1.78362,4.23991,2.21673,0.000297987,0.000297987,0.000297987
9,241.705,1.86601,2.80896,1.93707,0.00427,0.70833,0.3643,0.13265,1.80152,4.23422,2.20242,0.000322,0.000322,0.000322
10,266.858,1.99315,2.99077,2.03438,0.00324,0.68056,0.32923,0.16652,1.64913,4.18455,2.09684,0.000342713,0.000342713,0.000342713
11,290.716,1.82548,2.70398,1.83482,0.00273,0.65278,0.27227,0.12975,1.68831,4.24173,2.12418,0.000360125,0.000360125,0.000360125
12,314.68,1.85024,2.80008,1.87915,0.00343,0.68056,0.29986,0.13644,1.834,4.1317,2.2035,0.000374238,0.000374238,0.000374238
13,338.509,1.77491,2.52095,1.80529,0.8462,0.125,0.28497,0.1221,1.83887,4.1042,2.29684,0.00038505,0.00038505,0.00038505
14,362.252,1.65407,2.34505,1.69286,0.85617,0.125,0.35756,0.12717,1.80719,4.08508,2.25576,0.000392563,0.000392563,0.000392563
15,386.431,1.7479,2.50141,1.81467,0.00362,0.80556,0.34247,0.1452,1.70202,4.1574,2.13598,0.000396775,0.000396775,0.000396775
16,410.146,1.75693,2.26045,1.75416,0.00369,0.80556,0.24176,0.13662,1.68531,4.24411,2.14963,0.000397687,0.000397687,0.000397687
17,434.301,1.77011,2.37858,1.74832,0.00369,0.80556,0.24491,0.1272,1.76718,4.09829,2.1967,0.0003953,0.0003953,0.0003953
18,457.977,1.62284,2.32447,1.69049,0.00429,0.83333,0.33606,0.17656,1.75202,4.07371,2.17784,0.000389612,0.000389612,0.000389612
19,482.022,1.55456,2.0091,1.60049,0.10166,0.40278,0.31071,0.22226,1.7498,4.02006,2.18352,0.000380625,0.000380625,0.000380625
20,509.316,1.62949,2.03527,1.58592,0.37895,0.27778,0.30077,0.16275,1.6254,3.92215,2.11443,0.000368338,0.000368338,0.000368338
21,539.468,1.68643,2.97503,1.69961,0.52918,0.25,0.30975,0.15468,1.75059,3.83956,2.11971,0.00035275,0.00035275,0.00035275
22,568.393,1.59235,2.58552,1.61051,0.52371,0.34935,0.33834,0.15577,1.76968,3.7846,2.1031,0.000333863,0.000333863,0.000333863
23,596.961,1.50898,2.36935,1.62667,0.49134,0.27156,0.32323,0.1435,1.75613,3.86555,2.10018,0.000311675,0.000311675,0.000311675
24,621.817,1.50141,2.66959,1.69686,0.51038,0.29161,0.30967,0.14283,1.71289,3.869,2.11689,0.000286187,0.000286187,0.000286187
25,650.221,1.51713,2.42464,1.6168,0.57984,0.28647,0.32496,0.12607,1.76178,3.8115,2.18708,0.0002574,0.0002574,0.0002574
26,690.165,1.49936,2.3555,1.58591,0.88171,0.25,0.31787,0.12107,1.68726,3.75957,2.19918,0.00021875,0.00021875,0.00021875
27,718.496,1.50128,2.2149,1.61148,0.79251,0.25,0.33799,0.1286,1.75547,3.69976,2.21699,0.0001775,0.0001775,0.0001775
28,758.171,1.40462,2.24663,1.56989,0.51556,0.30556,0.48196,0.17436,1.78428,3.67893,2.20239,0.00013625,0.00013625,0.00013625
29,794.249,1.42627,2.18339,1.55812,0.62734,0.37261,0.47937,0.20755,1.71297,3.65576,2.14006,9.5e-05,9.5e-05,9.5e-05
30,825.001,1.43228,2.22638,1.59794,0.62523,0.36767,0.50393,0.22292,1.71273,3.68352,2.11665,5.375e-05,5.375e-05,5.375e-05
